тоегд1,node,LINE_ID,X,Y,geometry
102,511022,Red-N,177129.7,660677.169,POINT (177129.7 660677.169)
103,511022,Red-S,177129.7,660677.169,POINT (177129.7 660677.169)
104,511022,Red2-N,177129.7,660677.169,POINT (177129.7 660677.169)
105,511022,Red2-S,177129.7,660677.169,POINT (177129.7 660677.169)
106,511023,Red-N,176766.701,660220.168,POINT (176766.701 660220.1680000001)
107,511023,Red-S,176766.701,660220.168,POINT (176766.701 660220.1680000001)
108,511023,Red2-N,176766.701,660220.168,POINT (176766.701 660220.1680000001)
109,511023,Red2-S,176766.701,660220.168,POINT (176766.701 660220.1680000001)
110,511024,Red-N,176537.705,659623.168,POINT (176537.70500000002 659623.1680000001)
111,511024,Red-S,176537.705,659623.168,POINT (176537.70500000002 659623.1680000001)
112,511024,Red2-N,176537.705,659623.168,POINT (176537.70500000002 659623.1680000001)
113,511024,Red2-S,176537.705,659623.168,POINT (176537.70500000002 659623.1680000001)
114,511025,Red-N,175939.706,659408.156,POINT (175939.706 659408.1560000001)
115,511025,Red-S,175939.706,659408.156,POINT (175939.706 659408.1560000001)
116,511025,Red2-N,175939.706,659408.156,POINT (175939.706 659408.1560000001)
117,511025,Red2-S,175939.706,659408.156,POINT (175939.706 659408.1560000001)
118,511026,Red-N,175953.713,658809.157,POINT (175953.71300000002 658809.157)
119,511026,Red-S,175953.713,658809.157,POINT (175953.71300000002 658809.157)
120,511026,Red2-N,175953.713,658809.157,POINT (175953.71300000002 658809.157)
121,511026,Red2-S,175953.713,658809.157,POINT (175953.71300000002 658809.157)
122,511027,Red-N,176148.8008,658356.3537,POINT (176148.800817789 658356.3536636871)
123,511027,Red-S,176148.8008,658356.3537,POINT (176148.800817789 658356.3536636871)
124,511027,Red2-N,176148.8008,658356.3537,POINT (176148.800817789 658356.3536636871)
125,511027,Red2-S,176148.8008,658356.3537,POINT (176148.800817789 658356.3536636871)
126,511028,Red-N,176504.7264,658262.5066,POINT (176504.72637096804 658262.5066045232)
127,511028,Red-S,176504.7264,658262.5066,POINT (176504.72637096804 658262.5066045232)
128,511028,Red2-N,176504.7264,658262.5066,POINT (176504.72637096804 658262.5066045232)
129,511028,Red2-S,176504.7264,658262.5066,POINT (176504.72637096804 658262.5066045232)
130,511029,Red-N,176802.9861,658156.1224,POINT (176802.98611767995 658156.1224397769)
131,511029,Red-S,176802.9861,658156.1224,POINT (176802.98611767995 658156.1224397769)
132,511029,Red2-N,176802.9861,658156.1224,POINT (176802.98611767995 658156.1224397769)
133,511029,Red2-S,176802.9861,658156.1224,POINT (176802.98611767995 658156.1224397769)
134,511030,Red-N,176759.3956,657682.5679,POINT (176759.395551031 657682.56789265)
135,511030,Red-S,176759.3956,657682.5679,POINT (176759.395551031 657682.56789265)
136,511030,Red2-N,176759.3956,657682.5679,POINT (176759.395551031 657682.56789265)
137,511030,Red2-S,176759.3956,657682.5679,POINT (176759.395551031 657682.56789265)
138,511031,Red-N,176465.5056,657032.3969,POINT (176465.50561294198 657032.3968758421)
139,511031,Red-S,176465.5056,657032.3969,POINT (176465.50561294198 657032.3968758421)
140,511031,Red2-N,176465.5056,657032.3969,POINT (176465.50561294198 657032.3968758421)
141,511031,Red2-S,176465.5056,657032.3969,POINT (176465.50561294198 657032.3968758421)
142,511032,Red-N,176273.6836,656676.5949,POINT (176273.683554997 656676.594905208)
143,511032,Red-S,176273.6836,656676.5949,POINT (176273.683554997 656676.594905208)
144,511032,Red2-N,176273.6836,656676.5949,POINT (176273.683554997 656676.594905208)
145,511032,Red2-S,176273.6836,656676.5949,POINT (176273.683554997 656676.594905208)
146,511033,Red-N,176009.6665,656232.4482,POINT (176009.666528651 656232.448215382)
147,511033,Red-S,176009.6665,656232.4482,POINT (176009.666528651 656232.448215382)
148,511033,Red2-N,176009.6665,656232.4482,POINT (176009.666528651 656232.448215382)
149,511033,Red2-S,176009.6665,656232.4482,POINT (176009.666528651 656232.448215382)
150,511034,Red-N,175854.3455,655791.7548,POINT (175854.34554358502 655791.75482286)
151,511034,Red-S,175854.3455,655791.7548,POINT (175854.34554358502 655791.75482286)
152,511034,Red2-N,175854.3455,655791.7548,POINT (175854.34554358502 655791.75482286)
153,511034,Red2-S,175854.3455,655791.7548,POINT (175854.34554358502 655791.75482286)
154,511035,L1-S,181498.3442,646303.6858,POINT (181498.344176863 646303.685788126)
155,511036,Red-N,176632.4499,655373.968,POINT (176632.44994870902 655373.9680091331)
156,511036,Red-S,176632.4499,655373.968,POINT (176632.44994870902 655373.9680091331)
157,511036,Red2-N,176632.4499,655373.968,POINT (176632.44994870902 655373.9680091331)
158,511036,Red2-S,176632.4499,655373.968,POINT (176632.44994870902 655373.9680091331)
159,511037,Red-N,177182.782,655287.0318,POINT (177182.78200202898 655287.031762279)
160,511037,Red2-N,177182.782,655287.0318,POINT (177182.78200202898 655287.031762279)
161,511038,Red2-S,187197.1079,668208.1821,POINT (187197.107922144 668208.182056256)
162,511038,Shut-S,187197.1079,668208.1821,POINT (187197.107922144 668208.182056256)
163,511039,Red2-N,185771.8767,667548.3312,POINT (185771.87672523 667548.3311840452)
164,511039,Red2-S,185771.8767,667548.3312,POINT (185771.87672523 667548.3311840452)
165,511039,Shut-N,185771.8767,667548.3312,POINT (185771.87672523 667548.3311840452)
166,511039,Shut-S,185771.8767,667548.3312,POINT (185771.87672523 667548.3311840452)
167,511040,L1-N,180375.2796,644543.9857,POINT (180375.279647199 644543.985715307)
168,511040,L1-S,180375.2796,644543.9857,POINT (180375.279647199 644543.985715307)
169,511043,L1-N,172965.1603,639846.435,POINT (172965.16029793 639846.435015717)
170,511043,L1-S,172965.1603,639846.435,POINT (172965.16029793 639846.435015717)
171,511043,L2-N,172965.1603,639846.435,POINT (172965.16029793 639846.435015717)
172,511043,L2-S,172965.1603,639846.435,POINT (172965.16029793 639846.435015717)
173,511044,L1-N,170242.3765,639913.5946,POINT (170242.37646713597 639913.5945697909)
174,511044,L1-S,170242.3765,639913.5946,POINT (170242.37646713597 639913.5945697909)
175,511044,L2-N,170242.3765,639913.5946,POINT (170242.37646713597 639913.5945697909)
176,511044,L2-S,170242.3765,639913.5946,POINT (170242.37646713597 639913.5945697909)
177,511045,L1-N,170221.4927,637917.2766,POINT (170221.492719922 637917.2765597638)
178,511045,L1-S,170221.4927,637917.2766,POINT (170221.492719922 637917.2765597638)
179,511045,L2-N,170221.4927,637917.2766,POINT (170221.492719922 637917.2765597638)
180,511045,L2-S,170221.4927,637917.2766,POINT (170221.492719922 637917.2765597638)
181,511046,L1-N,168996.4743,637419.2035,POINT (168996.47432649598 637419.203516195)
182,511046,L1-S,168996.4743,637419.2035,POINT (168996.47432649598 637419.203516195)
183,511046,L2-N,168996.4743,637419.2035,POINT (168996.47432649598 637419.203516195)
184,511046,L2-S,168996.4743,637419.2035,POINT (168996.47432649598 637419.203516195)
185,511047,L1-N,167943.1245,637214.2168,POINT (167943.12453430798 637214.2167542011)
186,511047,L1-S,167943.1245,637214.2168,POINT (167943.12453430798 637214.2167542011)
187,511047,L2-N,167943.1245,637214.2168,POINT (167943.12453430798 637214.2167542011)
188,511047,L2-S,167943.1245,637214.2168,POINT (167943.12453430798 637214.2167542011)
189,511048,L1-N,166106.8119,633143.9628,POINT (166106.81191206997 633143.962771839)
190,511048,L1-S,166106.8119,633143.9628,POINT (166106.81191206997 633143.962771839)
191,511048,L2-N,166106.8119,633143.9628,POINT (166106.81191206997 633143.962771839)
192,511048,L2-S,166106.8119,633143.9628,POINT (166106.81191206997 633143.962771839)
193,511049,L1-N,168251.6029,631890.6357,POINT (168251.60287969402 631890.635712543)
194,511049,L1-S,168251.6029,631890.6357,POINT (168251.60287969402 631890.635712543)
195,511050,L1-N,168455.8502,631513.7929,POINT (168455.85015031 631513.7928754669)
196,511051,L2-N,176186.2229,641890.5415,POINT (176186.22287081205 641890.5414848162)
197,511051,L2-S,176186.2229,641890.5415,POINT (176186.22287081205 641890.5414848162)
198,511051,LRT-L1,176186.2229,641890.5415,POINT (176186.22287081205 641890.5414848162)
199,511051,LRT-L2,176186.2229,641890.5415,POINT (176186.22287081205 641890.5414848162)
200,511053,L2-N,175034.6407,644058.951,POINT (175034.64070685703 644058.951018075)
201,511053,L2-S,175034.6407,644058.951,POINT (175034.64070685703 644058.951018075)
202,511054,L2-S,174625.3417,644157.0414,POINT (174625.34173600498 644157.0414321291)
203,511055,L2-N,175737.7894,640972.9208,POINT (175737.78942424897 640972.9208315611)
204,511055,L2-S,175737.7894,640972.9208,POINT (175737.78942424897 640972.9208315611)
205,511056,L2-N,165201.3723,631729.1967,POINT (165201.372314578 631729.1966842951)
206,511056,L2-S,165201.3723,631729.1967,POINT (165201.372314578 631729.1966842951)
207,511058,L2-N,167236.2224,631955.7329,POINT (167236.222431336 631955.7328740619)
208,511058,L2-S,167236.2224,631955.7329,POINT (167236.222431336 631955.7328740619)
209,511059,L2-N,168373.26,631417.6946,POINT (168373.26004190304 631417.694644238)
210,511066,L1-N,180570.9645,645901.7356,POINT (180570.964470706 645901.7355672669)
211,511066,L1-S,180570.9645,645901.7356,POINT (180570.964470706 645901.7355672669)
212,511067,L1-N,177129.9617,642177.6508,POINT (177129.961699267 642177.650780882)
213,511067,L1-S,177129.9617,642177.6508,POINT (177129.961699267 642177.650780882)
214,511068,L1-N,179291.6713,644123.2962,POINT (179291.67133375202 644123.296214725)
215,511068,L1-S,179291.6713,644123.2962,POINT (179291.67133375202 644123.296214725)
216,511069,L1-N,166812.613,634610.1862,POINT (166812.61300346302 634610.1861582969)
217,511069,L1-S,166812.613,634610.1862,POINT (166812.61300346302 634610.1861582969)
218,511069,L2-N,166812.613,634610.1862,POINT (166812.61300346302 634610.1861582969)
219,511069,L2-S,166812.613,634610.1862,POINT (166812.61300346302 634610.1861582969)
220,511070,L1-N,167374.704,635701.2971,POINT (167374.70395888205 635701.2971291959)
221,511070,L1-S,167374.704,635701.2971,POINT (167374.70395888205 635701.2971291959)
222,511070,L2-N,167374.704,635701.2971,POINT (167374.70395888205 635701.2971291959)
223,511070,L2-S,167374.704,635701.2971,POINT (167374.70395888205 635701.2971291959)
224,511071,L1-N,167123.2436,632559.0114,POINT (167123.24355076003 632559.0114012001)
225,511071,L1-S,167123.2436,632559.0114,POINT (167123.24355076003 632559.0114012001)
226,511072,L1-N,180385.4603,645492.6684,POINT (180385.46028637097 645492.668399631)
227,511072,L1-S,180385.4603,645492.6684,POINT (180385.46028637097 645492.668399631)
228,511073,L1-N,180376.6475,645002.9486,POINT (180376.647531949 645002.9485534391)
229,511073,L1-S,180376.6475,645002.9486,POINT (180376.647531949 645002.9485534391)
230,511074,L1-N,179768.7488,644310.2054,POINT (179768.74875770602 644310.205426255)
231,511074,L1-S,179768.7488,644310.2054,POINT (179768.74875770602 644310.205426255)
232,511075,L1-N,178979.508,643841.9733,POINT (178979.508018253 643841.973255354)
233,511075,L1-S,178979.508,643841.9733,POINT (178979.508018253 643841.973255354)
234,511076,L1-N,175123.2638,639831.98,POINT (175123.26378998204 639831.9799597788)
235,511076,L1-S,175123.2638,639831.98,POINT (175123.26378998204 639831.9799597788)
236,511076,L2-N,175123.2638,639831.98,POINT (175123.26378998204 639831.9799597788)
237,511076,L2-S,175123.2638,639831.98,POINT (175123.26378998204 639831.9799597788)
238,511077,L1-N,174120.9508,639466.8967,POINT (174120.95084638998 639466.89667991)
239,511077,L1-S,174120.9508,639466.8967,POINT (174120.95084638998 639466.89667991)
240,511077,L2-N,174120.9508,639466.8967,POINT (174120.95084638998 639466.89667991)
241,511077,L2-S,174120.9508,639466.8967,POINT (174120.95084638998 639466.89667991)
242,511078,L1-N,173433.1145,639934.3115,POINT (173433.11446514097 639934.3114978591)
243,511078,L1-S,173433.1145,639934.3115,POINT (173433.11446514097 639934.3114978591)
244,511078,L2-N,173433.1145,639934.3115,POINT (173433.11446514097 639934.3114978591)
245,511078,L2-S,173433.1145,639934.3115,POINT (173433.11446514097 639934.3114978591)
246,511079,L1-N,172401.6213,639860.3351,POINT (172401.62134016005 639860.335136865)
247,511079,L1-S,172401.6213,639860.3351,POINT (172401.62134016005 639860.335136865)
248,511079,L2-N,172401.6213,639860.3351,POINT (172401.62134016005 639860.335136865)
249,511079,L2-S,172401.6213,639860.3351,POINT (172401.62134016005 639860.335136865)
250,511080,L1-N,171942.715,639871.6544,POINT (171942.71502913104 639871.6544134311)
251,511080,L1-S,171942.715,639871.6544,POINT (171942.71502913104 639871.6544134311)
252,511080,L2-N,171942.715,639871.6544,POINT (171942.71502913104 639871.6544134311)
253,511080,L2-S,171942.715,639871.6544,POINT (171942.71502913104 639871.6544134311)
254,511081,L1-N,171380.1295,639885.531,POINT (171380.12945785798 639885.5310185689)
255,511081,L1-S,171380.1295,639885.531,POINT (171380.12945785798 639885.5310185689)
256,511081,L2-N,171380.1295,639885.531,POINT (171380.12945785798 639885.5310185689)
257,511081,L2-S,171380.1295,639885.531,POINT (171380.12945785798 639885.5310185689)
258,511082,L1-N,170230.4202,638770.6716,POINT (170230.42019829596 638770.6715792968)
259,511082,L1-S,170230.4202,638770.6716,POINT (170230.42019829596 638770.6715792968)
260,511082,L2-N,170230.4202,638770.6716,POINT (170230.42019829596 638770.6715792968)
261,511082,L2-S,170230.4202,638770.6716,POINT (170230.42019829596 638770.6715792968)
262,511083,L1-N,169830.5264,637921.9408,POINT (169830.526350322 637921.9408063531)
263,511083,L1-S,169830.5264,637921.9408,POINT (169830.526350322 637921.9408063531)
264,511083,L2-N,169830.5264,637921.9408,POINT (169830.526350322 637921.9408063531)
265,511083,L2-S,169830.5264,637921.9408,POINT (169830.526350322 637921.9408063531)
266,511084,L1-N,169173.0703,637911.0024,POINT (169173.07026891803 637911.002400347)
267,511084,L1-S,169173.0703,637911.0024,POINT (169173.07026891803 637911.002400347)
268,511084,L2-N,169173.0703,637911.0024,POINT (169173.07026891803 637911.002400347)
269,511084,L2-S,169173.0703,637911.0024,POINT (169173.07026891803 637911.002400347)
270,511085,L1-N,168302.6723,637426.8203,POINT (168302.67230178605 637426.8203308481)
271,511085,L1-S,168302.6723,637426.8203,POINT (168302.67230178605 637426.8203308481)
272,511085,L2-N,168302.6723,637426.8203,POINT (168302.67230178605 637426.8203308481)
273,511085,L2-S,168302.6723,637426.8203,POINT (168302.67230178605 637426.8203308481)
274,511086,L1-N,167973.8066,636729.3125,POINT (167973.806585187 636729.3125192799)
275,511086,L1-S,167973.8066,636729.3125,POINT (167973.806585187 636729.3125192799)
276,511086,L2-N,167973.8066,636729.3125,POINT (167973.806585187 636729.3125192799)
277,511086,L2-S,167973.8066,636729.3125,POINT (167973.806585187 636729.3125192799)
278,511087,L1-N,167772.8988,636295.5702,POINT (167772.89876329197 636295.5701997738)
279,511087,L1-S,167772.8988,636295.5702,POINT (167772.89876329197 636295.5701997738)
280,511087,L2-N,167772.8988,636295.5702,POINT (167772.89876329197 636295.5701997738)
281,511087,L2-S,167772.8988,636295.5702,POINT (167772.89876329197 636295.5701997738)
282,511088,L1-N,167489.6303,635868.6426,POINT (167489.63025865704 635868.642552639)
283,511088,L1-S,167489.6303,635868.6426,POINT (167489.63025865704 635868.642552639)
284,511088,L2-N,167489.6303,635868.6426,POINT (167489.63025865704 635868.642552639)
285,511088,L2-S,167489.6303,635868.6426,POINT (167489.63025865704 635868.642552639)
286,511089,L1-N,167210.2023,635487.8335,POINT (167210.20226752502 635487.8335173631)
287,511089,L1-S,167210.2023,635487.8335,POINT (167210.20226752502 635487.8335173631)
288,511089,L2-N,167210.2023,635487.8335,POINT (167210.20226752502 635487.8335173631)
289,511089,L2-S,167210.2023,635487.8335,POINT (167210.20226752502 635487.8335173631)
290,511090,L1-N,167022.4291,635073.3388,POINT (167022.429091268 635073.3388437341)
291,511090,L1-S,167022.4291,635073.3388,POINT (167022.429091268 635073.3388437341)
292,511090,L2-N,167022.4291,635073.3388,POINT (167022.429091268 635073.3388437341)
293,511090,L2-S,167022.4291,635073.3388,POINT (167022.429091268 635073.3388437341)
294,511091,L1-N,166579.3327,634207.7964,POINT (166579.332742796 634207.79643545)
295,511091,L1-S,166579.3327,634207.7964,POINT (166579.332742796 634207.79643545)
296,511091,L2-N,166579.3327,634207.7964,POINT (166579.332742796 634207.79643545)
297,511091,L2-S,166579.3327,634207.7964,POINT (166579.332742796 634207.79643545)
298,511092,L1-N,166272.4105,633689.4273,POINT (166272.410506792 633689.427273024)
299,511092,L1-S,166272.4105,633689.4273,POINT (166272.410506792 633689.427273024)
300,511092,L2-N,166272.4105,633689.4273,POINT (166272.410506792 633689.427273024)
301,511092,L2-S,166272.4105,633689.4273,POINT (166272.410506792 633689.427273024)
302,511093,L1-N,166670.9978,632815.1981,POINT (166670.997752408 632815.1981121738)
303,511093,L1-S,166670.9978,632815.1981,POINT (166670.997752408 632815.1981121738)
304,511094,L1-N,167535.6171,632316.369,POINT (167535.61712602002 632316.3690278422)
305,511094,L1-S,167535.6171,632316.369,POINT (167535.61712602002 632316.3690278422)
306,511095,L2-N,174897.9672,643266.2702,POINT (174897.967183325 643266.2702347189)
307,511095,L2-S,174897.9672,643266.2702,POINT (174897.967183325 643266.2702347189)
308,511096,L2-N,175078.3705,642645.9582,POINT (175078.37050206098 642645.9581843531)
309,511096,L2-S,175078.3705,642645.9582,POINT (175078.37050206098 642645.9581843531)
310,511097,L2-N,175546.2206,642416.258,POINT (175546.220587183 642416.2580081889)
311,511097,L2-S,175546.2206,642416.258,POINT (175546.220587183 642416.2580081889)
312,511098,L2-N,175758.3289,642149.2876,POINT (175758.328859116 642149.287627717)
313,511098,L2-S,175758.3289,642149.2876,POINT (175758.328859116 642149.287627717)
314,511099,L2-N,176067.9026,641648.4249,POINT (176067.902554852 641648.424920014)
315,511099,L2-S,176067.9026,641648.4249,POINT (176067.902554852 641648.424920014)
316,511100,L2-N,175886.0834,641276.3719,POINT (175886.083369131 641276.3718511462)
317,511100,L2-S,175886.0834,641276.3719,POINT (175886.083369131 641276.3718511462)
318,511100,LRT-L1,175886.0834,641276.3719,POINT (175886.083369131 641276.3718511462)
319,511100,LRT-L2,175886.0834,641276.3719,POINT (175886.083369131 641276.3718511462)
320,511101,L2-N,165831.242,632713.3798,POINT (165831.24204358706 632713.37976469)
321,511101,L2-S,165831.242,632713.3798,POINT (165831.24204358706 632713.37976469)
322,511102,L2-N,165518.0613,632224.0291,POINT (165518.06134051603 632224.0291341189)
323,511102,L2-S,165518.0613,632224.0291,POINT (165518.06134051603 632224.0291341189)
324,511103,L2-N,165561.131,631513.1464,POINT (165561.13095246602 631513.1463679401)
325,511103,L2-S,165561.131,631513.1464,POINT (165561.13095246602 631513.1463679401)
326,511104,L2-N,165876.2707,631323.8916,POINT (165876.27072146104 631323.891574262)
327,511104,L2-S,165876.2707,631323.8916,POINT (165876.27072146104 631323.891574262)
328,511105,L2-N,166341.5336,631044.4815,POINT (166341.533647536 631044.481459312)
329,511105,L2-S,166341.5336,631044.4815,POINT (166341.533647536 631044.481459312)
330,511106,L2-N,166719.1597,631227.1167,POINT (166719.15966782896 631227.1167132)
331,511106,L2-S,166719.1597,631227.1167,POINT (166719.15966782896 631227.1167132)
332,511107,L2-N,166972.0899,631583.43,POINT (166972.089869414 631583.429993806)
333,511107,L2-S,166972.0899,631583.43,POINT (166972.089869414 631583.429993806)
334,511108,L2-N,167562.5072,631801.3372,POINT (167562.50724606705 631801.3371860881)
335,511108,L2-S,167562.5072,631801.3372,POINT (167562.50724606705 631801.3371860881)
336,511109,L2-N,168036.0183,631577.2751,POINT (168036.01834666505 631577.275051291)
