Line_ModelName,Mode_Planned,Line_Name,Line_Description,Area
BlueRT1,BRT,קו כחול,צומת בילו-צומת חולון,Tel Aviv
BlueRT2,BRT,קו כחול,צומת חולון-צומת בילו,Tel Aviv
East-N,LRT,"רק""ל מזרחי",צומת רעננה-צומת בילו,Tel Aviv
East-S,LRT,"רק""ל מזרחי",צומת בילו-צומת רעננה,Tel Aviv
ART1-1,LRT,קו חום מערבי,מתחם ה-1000-אסף הרופא,Tel Aviv
ART1-2,LRT,קו חום מערבי,אסף הרופא-מתחם ה-1000,Tel Aviv
ART2-1,LRT,קו חום מערבי 2,"חוף ראשל""צ-אסף הרופא",Tel Aviv
ART2-2,LRT,קו חום מערבי 2,"אסף הרופא-חוף ראשל""צ",Tel Aviv
BRT1-1,BRT,קו חום מזרחי,"תחנה מרכזית ראשל""צ-לוד",Tel Aviv
BRT1-2,BRT,קו חום מזרחי,"לוד-תחנה מרכזית ראשל""צ",Tel Aviv
BRT2-1,BRT,קו חום מזרחי 2,אסף הרופא-אירפורט סיטי,Tel Aviv
BRT2-2,BRT,קו חום מזרחי 2,אירפורט סיטי-אסף הרופא,Tel Aviv
Me02-E,Metro,מטרו 2,וולפסון-סגולה,Tel Aviv
Me02-W,Metro,מטרו 2,סגולה-וולפסון,Tel Aviv
Me03-L,Metro,מטרו 3 טבעתי,הרצליה-בת ים,Tel Aviv
Me03-R,Metro,מטרו 3 טבעתי,בת ים-הרצליה,Tel Aviv
Hz-KS1,BRT,קו ורוד,כפר סבא-הרצליה,Tel Aviv
Hz-KS2,BRT,קו ורוד,הרצליה-כפר סבא,Tel Aviv
LRT121,LRT,קו כחול 1,נתניה מערב-הרצליה,Netanya
LRT122,LRT,קו כחול 1,הרצליה-נתניה מערב,Netanya
LRT131,LRT,קו כחול 2,נתניה מזרח-הרצליה,Netanya
LRT132,LRT,קו כחול 2,הרצליה-נתניה מזרח,Netanya
LRT141,BRT,"נתניה-כפ""ס","נתניה-כפ""ס דרך טייבה/קלאנסווה",Netanya
LRT142,LRT,"נתניה-כפ""ס","כפ""ס-נתניה דרך טייבה/קלאנסווה",Netanya
LRT151,LRT,"נתניה-כפ""ס 2","נתניה-כפ""ס דרך קדימה-צורן",Netanya
LRT152,LRT,"נתניה-כפ""ס 2","כפ""ס-נתניה דרך קדימה-צורן",Netanya
LRT-L1,LRT,"רק""ל כביש 4",נתניה-אשדוד,Tel Aviv
LRT-L2,LRT,"רק""ל כביש 4",אשדוד-נתניה,Tel Aviv
L2-N,LRT,אשדוד-יבנה,אשדוד-יבנה (דרך הנמל),Tel Aviv
L2-S,LRT,אשדוד-יבנה,יבנה-אשדוד (דרך הנמל),Tel Aviv
RH-GY1,BRT,רחובות-גן יבנה,רחובות-גן יבנה (דרך אשדוד),Tel Aviv
RH-GY2,BRT,רחובות-גן יבנה,גן יבנה-רחובות (דרך אשדוד),Tel Aviv
L1-N,LRT,אשדוד-רחובות,אשדוד-רחובות (דרך הנמל),Tel Aviv
L1-S,LRT,אשדוד-רחובות,רחובות-אשדוד (דרך הנמל),Tel Aviv
4.1_Arad-BS,LRT,ערד-באר שבע מערב,ערד-באר שבע מערב,Beer Sheva
4.1_BS-Arad,LRT,ערד-באר שבע מערב,באר שבע מערב-ערד,Beer Sheva
4.4_Rahat-Bee'rSheva_Main,LRT,רהט מערב-באר שבע דרום מערב,רהט מערב-באר שבע דרום מערב,Beer Sheva
4.4_Bee'rSheva-Rahat_Main,LRT,רהט מערב-באר שבע דרום מערב,באר שבע דרום מערב-רהט מערב,Beer Sheva
4.5_Rahat-Bee'rSheva,LRT,רהט צפון-באר שבע דרום מערב,רהט צפון-באר שבע דרום מערב,Beer Sheva
4.5_Bee'rSheva-Rahat,LRT,רהט צפון-באר שבע דרום מערב,באר שבע דרום מערב-רהט צפון,Beer Sheva
4.3_Ofakim-TelSheva,LRT,אופקים-תל שבע,אופקים-תל שבע,Beer Sheva
4.3_TelSheva-Ofakim,LRT,אופקים-תל שבע,תל שבע-אופקים,Beer Sheva
4.2_LRT_BRS-Shoket,LRT,"רק""ל ליקית",צומת שוקת-מרכז רפואי באר שבע,Beer Sheva
4.2_LRT_Shoket-BRS,LRT,"רק""ל ליקית",מרכז רפואי באר שבע-צומת שוקת,Beer Sheva
LRT_Shoket-BRS_2,LRT,"רק""ל ליקית",צומת שוקת-מרכז רפואי באר שבע,Beer Sheva
LRT_BRS-Shoket_2,LRT,"רק""ל ליקית",מרכז רפואי באר שבע-צומת שוקת,Beer Sheva
LRT11,LRT,אדום,אדום כיוון 1,Jerusalem
LRT12,LRT,אדום,אדום כיוון 2,Jerusalem
LRT21,LRT,אדום מקווקו,אדום מקווקו כיוון 1,Jerusalem
LRT22,LRT,אדום מקווקו,אדום מקווקו כיוון 2,Jerusalem
LRT31,LRT,ורוד,ורוד כיוון 1,Jerusalem
LRT32,LRT,ורוד,ורוד כיוון 2,Jerusalem
LRT41,LRT,ירוק,ירוק כיוון 1,Jerusalem
LRT42,LRT,ירוק,ירוק כיוון 2,Jerusalem
LRT51,LRT,ירוק בהיר,ירוק בהיר כיוון 1,Jerusalem
LRT52,LRT,ירוק בהיר,ירוק בהיר כיוון 2,Jerusalem
LRT61,LRT,כחול,כחול כיוון 1,Jerusalem
LRT62,LRT,כחול,כחול כיוון 2,Jerusalem
LRT71,LRT,תכלת,תכלת כיוון 1,Jerusalem
LRT72,LRT,תכלת,תכלת כיוון 2,Jerusalem
LRT81,LRT,סגול,סגול כיוון 1,Jerusalem
LRT82,LRT,סגול,סגול כיוון 2,Jerusalem
LRT91,LRT,צהוב,צהוב כיוון 1,Jerusalem
LRT92,LRT,צהוב,צהוב כיוון 2,Jerusalem
LRT101,LRT,חום,חום כיוון 1,Jerusalem
LRT102,LRT,חום,חום כיוון 2,Jerusalem
BRT101,BRT,BRT101,עפולה-חדרה,Haifa
BRT102,BRT,BRT101,חדרה-עפולה,Haifa
BRT103,BRT,BRT103,רעננה-חדרה,Haifa
BRT104,BRT,BRT103,חדרה-רעננה,Haifa
BRT105,BRT,BRT105,חדרה-באקה אל גרבייה,Haifa
BRT106,BRT,BRT105,באקה אל גרבייה-חדרה,Haifa
BRT107,BRT,BRT107,חדרה-אור עקיבא,Haifa
BRT108,BRT,BRT107,אור עקיבא-חדרה,Haifa
m0610a,BRT,מטרונית 6-1,רכסים-טירת כרמל,Haifa
m0620a,BRT,מטרונית 6-1,טירת כרמל-רכסים,Haifa
m0630a,BRT,מטרונית 6-2,יגור-בת גלים,Haifa
m0640a,BRT,מטרונית 6-2,בת גלים-יגור,Haifa
m081#a,BRT,מטרונית 8,טכניון-בת גלים,Haifa
m082#a,BRT,מטרונית 8,בת גלים-טכניון,Haifa
m0810a,BRT,מטרונית 8,טכניון-בת גלים,Haifa
m0820a,BRT,מטרונית 8,בת גלים-טכניון,Haifa
m1010a,BRT,מטרונית 10,עכו-בת גלים,Haifa
m1020a,BRT,מטרונית 10,בת גלים-עכו,Haifa
NH_Raanana_Hadera,BRT,"מתע""ן 4",חדרה - רעננה (כביש 4),Hadera
NH_Hadera_Raanana,BRT,"מתע""ן 4",רעננה - חדרה (כביש 4),Hadera
OrAkiva_Hadera,BRT,אור עקיבא - חדרה,אור עקיבא - חדרה,Hadera
Hadera_OrAkiva,BRT,אור עקיבא - חדרה,חדרה - אור עקיבא,Hadera
NH_OP2_2_1,BRT,עפולה - חדרה,עפולה - חדרה,Hadera
NH_OP2_2_2,BRT,עפולה - חדרה,חדרה - עפולה,Hadera
NH_Hadera_Harish_Bakaa,BRT,חריש - חדרה,חריש - חדרה,Hadera
NH_Bakka_Harish_Hadera,BRT,חריש - חדרה,חדרה - חריש,Hadera
KefarYona-Netanya,BRT,כפר יונה-נתניה,כפר יונה-נתניה,Netanya
Netanya-KefarYona,BRT,כפר יונה-נתניה,נתניה-כפר יונה,Netanya
m1410a,BRT,מטרונית 14,מחלף טל - מרכזית הקריות,Haifa
m1420a,BRT,מטרונית 14,מרכזית הקריות - מחלף טל,Haifa
m2010a,BRT,מטרונית 20,מרכז הכרמל כיוון 1,Haifa
m2020a,BRT,מטרונית 20,מרכז הכרמל כיוון 2,Haifa
R321-1,BRT,מטרונית 301,מרכזית הקריות - בת גלים,Haifa
R321-2,BRT,מטרונית 301,בת גלים - מרכזית הקריות,Haifa
