node,degree,n_lines,betweenness,closeness,pagerank,eigenvector,x,y,lines,modes,mode_score,hub_score
512061,2,2,0.012163,0.127938,0.000556,0.0,183472.6395,668188.2096,"Grn1-N, Grn1-S",LRT,5,0.268186
512064,2,2,0.001256,0.122686,0.00065,0.0,185202.4893,669104.4795,"Grn1-N, Grn1-S",LRT,5,0.268082
511240,2,4,0.012494,0.10615,0.000715,0.0,187956.1462,689105.0334,"LRT141, LRT142, LRT151, LRT152","BRT, LRT",5,0.267982
511077,2,4,0.04208,0.101308,0.000683,0.0,174120.9508,639466.8967,"L1-N, L1-S, L2-N, L2-S",LRT,5,0.267714
512048,2,2,0.008697,0.123894,0.000608,0.0,180516.48,657997.496,"Grn2-N, Grn2-S",LRT,5,0.26754
51035,4,6,3e-06,0.080327,0.000688,1e-06,215238.824,629378.6201,"LRT11, LRT12, LRT21, LRT22, LRT81, LRT82",LRT,5,0.267349
1024,7,6,0.002076,0.081182,0.000492,0.000355,198946.6296,748444.6595,"R321-1, R321-2, R325-1, R325-2, R330-1, R330-2",BRT,4,0.267278
51106,4,4,0.008609,0.086895,0.000682,0.0,220661.1561,632190.1368,"LRT61, LRT62, LRT71, LRT72",LRT,5,0.267227
1004,4,8,0.003815,0.072259,0.000894,4.1e-05,208615.2535,749722.9198,"R1001-1, R1001-2, R321-1, R321-2, R322-1, R322-2, R329-1, R329-2",BRT,4,0.267023
511270,3,2,0.007902,0.119335,0.000527,0.0,182671.6561,657574.0725,"LRT-L1, LRT-L2",LRT,5,0.267011
511040,3,2,0.007902,0.108209,0.000658,0.0,180375.2796,644543.9857,"L1-N, L1-S",LRT,5,0.266832
512147,3,4,0.028029,0.092892,0.000683,0.0,167567.3338,632338.3461,"Orange_N, Orange_S, RedN, RedS",LRT,5,0.266817
525308,4,2,0.010976,0.117412,0.000628,2e-06,186350.411,676527.1095,"Hz-KS1, Hz-KS2",BRT,4,0.266808
515018,4,2,0.001037,0.118572,0.000643,0.0,181584.5034,652429.2941,"BRT1-1, BRT1-2",BRT,4,0.266782
512071,2,2,0.003305,0.120353,0.000658,0.0,182198.9523,655917.4024,"Grn2-N, Grn2-S",LRT,5,0.266682
512272,2,4,0.089618,0.092997,0.000633,0.0,168597.3182,630032.8874,"Orange_N, Orange_S, RedN, RedS",LRT,5,0.266593
525065,4,2,0.004797,0.118478,0.000629,0.0,181594.1449,652442.3204,"BluRT1, BluRT2",BRT,4,0.266396
36358,3,10,0.001732,0.080055,0.000835,4.2e-05,199553.3159,747481.7802,"m0110a, m0120a, m0210a, m0220a, m0610a, m0620a, m0710a, m0720a, m0910a, m0920a",BRT,4,0.266347
512231,5,1,0.014088,0.106116,0.000442,2e-06,175879.4264,641011.8885,Light-Blue_S,LRT,5,0.266275
51019,3,5,0.000374,0.086074,0.000791,0.0,220473.9714,632431.6272,"LRT11, LRT12, LRT31, LRT32, LRT9",LRT,5,0.266253
512132,3,4,0.029181,0.093771,0.00066,0.0,168034.4889,632047.0488,"Orange_N, Orange_S, RedN, RedS",LRT,5,0.265851
500042,4,4,0.027733,0.080351,0.000913,0.0,178796.6593,612636.6223,"BRT_Blue_E, BRT_Blue_W, BRT_Pink_E, BRT_Pink_W",BRT,4,0.265739
36046,4,4,0.017946,0.084103,0.000893,0.000744,196816.9745,745026.6512,"m0110a, m0620a, m0710a, m0720a",BRT,4,0.265665
36361,2,10,0.00249,0.08042,0.000954,1.2e-05,199219.391,747653.2,"m0110a, m0120a, m0210a, m0220a, m0610a, m0620a, m0710a, m0720a, m0910a, m0920a",BRT,4,0.265527
512040,2,2,0.004634,0.121403,0.000629,0.0,181602.0657,673651.0743,"Grn2-N, Grn2-S",LRT,5,0.265259
36243,3,4,0.015004,0.098535,0.000861,0.0,192508.0329,704859.3273,"brt051, brt052, brt061, brt062",BRT,4,0.265197
511098,3,2,0.039995,0.106724,0.000566,0.0,175758.3289,642149.2876,"L2-N, L2-S",LRT,5,0.26509
36115,4,6,0.010946,0.07688,0.000895,3e-05,206911.0511,746234.0276,"m0110a, m0120a, m0210a, m0220a, m0410a, m0820a",BRT,4,0.264671
525059,4,2,0.003817,0.117438,0.000628,0.0,181461.1608,650779.8747,"BluRT1, BluRT2",BRT,4,0.264608
511005,2,2,0.024373,0.116957,0.000617,0.0,187573.701,666547.164,"Red-N, Red-S",LRT,5,0.264495
512047,2,2,0.008799,0.12402,0.000577,0.0,180167.985,658411.391,"Grn2-N, Grn2-S",LRT,5,0.264364
512273,2,4,0.088556,0.091551,0.000633,0.0,168189.4386,629114.2052,"Orange_N, Orange_S, RedN, RedS",LRT,5,0.264341
511237,2,4,0.008939,0.10261,0.00073,0.0,188034.4964,690827.3789,"LRT141, LRT142, LRT151, LRT152","BRT, LRT",5,0.263943
525201,4,2,0.003506,0.116969,0.000628,0.0,181432.4474,650612.9576,"BluRT1, BluRT2",BRT,4,0.263904
36631,6,2,0.050298,0.085439,0.000577,0.00583,196452.8459,744345.3163,"m0110a, m0410a",BRT,4,0.263865
511239,2,4,0.011306,0.104818,0.000695,0.0,187981.4771,689738.2506,"LRT141, LRT142, LRT151, LRT152","BRT, LRT",5,0.263825
512056,2,2,0.003828,0.120514,0.000627,0.0,181476.4993,673270.4684,"Grn2-N, Grn2-S",LRT,5,0.263715
51100,4,4,0.003693,0.086919,0.000661,1e-06,218633.1908,632765.0626,"LRT31, LRT32, LRT51, LRT52",LRT,5,0.263407
525042,4,2,0.007922,0.115279,0.00063,1.1e-05,181850.29,646020.8888,"BluRT1, BluRT2",BRT,4,0.263385
525234,3,2,0.006991,0.127642,0.000618,0.0,182748.8467,668202.1776,"Yelw-N, Yelw-S",BRT,4,0.263365
51023,4,4,0.021737,0.087161,0.000603,1e-06,218858.2394,632613.6542,"LRT11, LRT12, LRT21, LRT22",LRT,5,0.263173
512057,2,2,0.003621,0.120177,0.000626,0.0,181271.2358,672758.3055,"Grn2-N, Grn2-S",LRT,5,0.263058
512041,2,2,0.003703,0.12029,0.000623,0.0,181061.8057,672200.3317,"Grn2-N, Grn2-S",LRT,5,0.262916
512058,2,2,0.003852,0.120457,0.000618,0.0,180768.128,671773.253,"Grn2-N, Grn2-S",LRT,5,0.262712
511092,3,4,0.001542,0.089341,0.000764,0.0,166272.4105,633689.4273,"L1-N, L1-S, L2-N, L2-S",LRT,5,0.262662
511074,3,2,0.008115,0.107137,0.000631,0.0,179768.7488,644310.2054,"L1-N, L1-S",LRT,5,0.26265
511078,2,4,0.040924,0.099763,0.000658,0.0,173433.1145,639934.3115,"L1-N, L1-S, L2-N, L2-S",LRT,5,0.262649
513027,2,4,0.001256,0.109275,0.00066,0.0,190599.7167,659260.6519,"Mgt2-E, Mgt2-W, Mgt3-E, Mgt3-W",LRT,5,0.262638
511238,2,4,0.010121,0.103575,0.000699,0.0,188003.8049,690345.295,"LRT141, LRT142, LRT151, LRT152","BRT, LRT",5,0.262325
