node,degree,n_lines,betweenness,closeness,pagerank,eigenvector,x,y,lines,modes,mode_score,hub_score
36630,3,2,0.001365,0.071133,0.000524,3.2e-05,206139.456,746716.5333,"m0310a, m0320a",BRT,4,0.22977
36278,3,4,0.000496,0.012881,0.000979,0.0,196631.7217,706198.6299,"brt051, brt052, brt061, brt062",BRT,4,0.229734
36854,2,2,0.000334,0.068508,0.000699,0.0,213008.574,747676.1223,"brt011, brt012",BRT,4,0.228934
511127,2,2,0.001454,0.063056,0.000404,0.0,187373.3199,692624.3669,"LRT131, LRT132",LRT,5,0.228926
525477,2,1,0.005139,0.076358,0.000669,0.0,168060.6392,636190.0648,RH-GY1,BRT,4,0.22888
500093,3,2,0.005143,0.053874,0.000673,0.0,160473.6521,620396.4906,"BRT_Blue_E, BRT_Blue_W",BRT,4,0.228823
36539,4,2,0.000712,0.059495,0.000521,1e-06,208493.7941,751794.3693,"m0310a, m0320a",BRT,4,0.228543
44102,2,2,0.014175,0.056038,0.000667,0.0,217766.524,748611.1485,"brt011, brt012",BRT,4,0.228507
467197,2,4,0.00034,0.019774,0.000677,0.0,181887.3474,574400.3369,"4.1_Arad-BS, 4.1_BS-Arad, 4.2_LRT_BRS-Shoket, 4.2_LRT_Shoket-BRS",LRT,5,0.228309
500092,3,2,0.004616,0.053203,0.00068,0.0,159983.279,620718.2959,"BRT_Blue_E, BRT_Blue_W",BRT,4,0.228094
467884,2,4,0.000107,0.017839,0.0007,0.0,178628.3617,572410.3541,"4.4_Bee'rSheva-Rahat_Main, 4.4_Rahat-Bee'rSheva_Main, 4.5_Bee'rSheva-Rahat, 4.5_Rahat-Bee'rSheva",LRT,5,0.227969
36513,2,2,0.002001,0.066963,0.000683,3e-06,206224.8364,748087.9574,"m0310a, m0320a",BRT,4,0.227574
36987,5,2,0.008187,0.031932,0.000604,1e-06,228296.5929,733132.1364,"brt031, brt032",BRT,4,0.227299
15443,5,1,0.000649,0.054457,0.000557,6e-05,196561.0536,745395.2037,m0610a,BRT,4,0.22728
525591,2,2,0.000774,0.068533,0.000674,0.0,197847.1417,669332.4599,"RG-RH1, RH-RG1",BRT,4,0.227019
34051,4,1,0.000567,0.059457,0.000287,1e-06,208844.7053,751690.6898,lrt07,LRT,5,0.226832
525476,2,1,0.004382,0.075005,0.000672,0.0,167966.0438,635637.0312,RH-GY1,BRT,4,0.226558
